,PCC,DD,AA,DA,AD
0,-5.0,1368+/-9,1375+/-4,92.5+/-1.4,94.9+/-1.6
1,-4.473684210526316,1367.6+/-3.0,1387+/-7,87.9+/-1.6,87.5+/-2.9
2,-3.947368421052632,1383+/-9,1398+/-14,84.0+/-1.3,83.5+/-2.6
3,-3.4210526315789473,1361+/-10,1374+/-11,80.3+/-2.0,81.7+/-1.3
4,-2.8947368421052633,1385+/-6,1410+/-15,75.1+/-3.5,72.2+/-0.8
5,-2.368421052631579,1388+/-16,1391+/-10,74.7+/-2.5,69.3+/-0.9
6,-1.8421052631578947,1398+/-8,1403+/-7,71.5+/-1.1,70.0+/-3.4
7,-1.3157894736842106,1382+/-9,1396+/-10,67.1+/-2.0,63.4+/-1.7
8,-0.7894736842105265,1411+/-11,1408+/-4,65.1+/-2.1,62.4+/-1.5
9,-0.2631578947368425,1400+/-5,1415+/-4,58.7+/-2.0,61.9+/-2.8
10,0.2631578947368416,1408+/-7,1422+/-10,58.6+/-2.7,58.7+/-1.9
11,0.7894736842105257,1396+/-10,1400+/-9,59.4+/-1.4,54.7+/-2.6
12,1.3157894736842106,1416+/-5,1419+/-12,58.6+/-1.2,56.4+/-1.9
13,1.8421052631578947,1406+/-9,1429+/-6,58.1+/-1.3,51.5+/-1.2
14,2.3684210526315788,1423+/-14,1434+/-12,60.6+/-1.5,48.8+/-1.7
15,2.894736842105263,1402+/-12,1437+/-11,58.5+/-2.0,48.4+/-1.7
16,3.421052631578947,1398+/-9,1439.2+/-3.3,57.7+/-1.7,49.7+/-2.4
17,3.947368421052632,1417+/-16,1438+/-8,56.2+/-1.2,53.7+/-1.1
18,4.473684210526315,1422+/-8,1426+/-8,58.6+/-1.1,52.3+/-1.6
19,5.0,1402+/-17,1434+/-7,63.7+/-1.9,54.8+/-3.4
