,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,-20.0,1079+/-8,204+/-5,220.3+/-1.2,1104+/-6,184.6+/-2.0,1116+/-9,1096+/-12,222.2+/-1.9
1,-18.88888888888889,1002+/-11,300.9+/-3.3,314+/-5,1025+/-7,109.0+/-2.1,1218+/-8,1146+/-7,146.7+/-3.5
2,-17.77777777777778,894+/-10,408+/-7,421+/-4,946+/-9,64.2+/-3.0,1246+/-13,1216+/-9,90.3+/-2.3
3,-16.666666666666668,798+/-6,516+/-5,523+/-7,847+/-7,35.8+/-2.2,1310+/-5,1232+/-8,54.8+/-1.7
4,-15.555555555555555,702.5+/-2.2,609+/-5,607.1+/-2.8,717+/-4,24.9+/-1.1,1313+/-7,1257+/-6,36.5+/-1.4
5,-14.444444444444445,601+/-5,712+/-7,702+/-8,622+/-6,33.9+/-2.3,1315+/-14,1255+/-7,33.8+/-1.3
6,-13.333333333333332,511+/-8,805+/-7,817+/-7,548+/-6,50.0+/-1.8,1304+/-10,1251+/-7,47.1+/-2.1
7,-12.222222222222221,428+/-6,893+/-9,879+/-6,454.2+/-2.8,79.3+/-3.4,1268+/-9,1221+/-10,67.9+/-1.7
8,-11.11111111111111,368+/-4,951+/-8,963+/-8,365+/-4,123.3+/-1.5,1222+/-10,1182+/-7,98+/-4
9,-10.0,298+/-4,1039+/-8,1020+/-11,308.1+/-3.3,166.2+/-2.2,1194+/-8,1142.8+/-1.8,136.7+/-3.4
